currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,87.92,2005546,2022-12-16T22:59:59.000Z,2022-12-10T15:30:29.000Z,21.98,109.9,80.0,2022-12-10T13:49:04.000Z,928.68,each,"{'da': 'Kød & fisk>Grisekød>Andet grisekød', 'en': 'Meat Fish>Pork>Other Pork'}",SPARERIBS M/BBQ SLAGTEREN,282909,
DKK,9.95,5712580553092,2022-12-14T22:59:59.000Z,2022-12-10T13:03:49.000Z,8.0,17.95,55.43,2022-12-10T13:03:27.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",FRIKADELLEPØLSE 3-STJERNET,57067704,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/737cc611-a36c-4709-b2c9-4a143d2e9a9d"
DKK,5.25,5712580538532,2022-12-31T22:59:59.000Z,2022-12-10T19:45:31.000Z,3.0,8.25,63.64,2022-12-01T12:23:01.000Z,33.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Hele pålægspølser', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Lunch Sausages'}",ØKO STJERNEHAPS 3-STJERNET,57408002,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/417ee2ba-da4d-4fec-82fa-9e49cc94a7a8"
DKK,49.0,5712580553252,2022-12-16T22:59:59.000Z,2022-12-10T15:00:17.000Z,20.0,69.0,71.01,2022-12-10T13:55:08.000Z,1.0,each,"{'da': 'Kød & fisk>Grisekød>Hakket grise- & kalvekød', 'en': 'Meat Fish>Pork>Minced Pork Veal'}",FARSBRØD SLAGTERMEST.,8713279263428,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/089d9480-be65-4575-b24d-ccbede609df2"
DKK,5.95,5712580552910,2022-12-13T22:59:59.000Z,2022-12-10T12:38:38.000Z,13.0,18.95,31.4,2022-12-10T12:38:17.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",RULLEPØLSE SALLING,5712875120077,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/79f25c3e-33c2-4751-8b11-0c11a9ecf775"
DKK,4.95,5712580553047,2022-12-14T22:59:59.000Z,2022-12-10T12:46:29.000Z,15.0,19.95,24.81,2022-12-10T12:46:10.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Leverpostej & paté', 'en': 'Dairy And Cold Storage>Lunch Meats>Liver Paste Patee'}",FRANSK POSTEJ STRYHN'S,5704000433480,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/61383aa2ae951adcf0b4dc2b32769c6f"
DKK,12.95,5712580553115,2022-12-15T22:59:59.000Z,2022-12-10T13:18:57.000Z,30.0,42.95,30.15,2022-12-10T13:18:32.000Z,4.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",SVAMPEBYGOTTO GRØD,5709760087379,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3aefc570-eb22-4ba0-96e4-6f114bfbf099"
DKK,16.95,5712580553139,2022-12-15T22:59:59.000Z,2022-12-10T13:20:22.000Z,30.0,46.95,36.1,2022-12-10T13:19:58.000Z,1.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GRØNTSAGSLASAGN LØGISMOSE,5710328005261,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3086176abef0c28b01881edfb477c106"
DKK,10.95,5712580553146,2022-12-16T22:59:59.000Z,2022-12-10T13:21:37.000Z,20.0,30.95,35.38,2022-12-10T13:21:21.000Z,1.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",SWEET&SOUR SALLING NU,5712874230838,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/e1cd7888-6f65-4e40-98d0-dc4602f93046"
DKK,11.95,5712580553153,2022-12-16T22:59:59.000Z,2022-12-10T13:22:25.000Z,35.0,46.95,25.45,2022-12-10T13:22:01.000Z,1.0,each,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",SPINATLASAGNE LØGISMOSE,5713507042590,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/392d70c30e75ec107b07448792d0dfdc"
