currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,55.92,2006055,2022-12-20T22:59:59.000Z,2022-12-19T06:28:48.000Z,13.98,69.9,80.0,2022-12-19T06:17:52.000Z,929.206,kg,NAKKESTEG,250585,,
DKK,59.0,2006017,2022-12-19T22:59:59.000Z,2022-12-18T14:04:27.000Z,30.0,89.0,66.29,2022-12-18T11:40:53.000Z,930.118,kg,FLÆSK I SKV.,250696,,{}
DKK,47.94,2006031,2022-12-19T22:59:59.000Z,2022-12-18T13:34:30.000Z,31.96,79.9,60.0,2022-12-18T11:41:34.000Z,929.206,kg,GRISETÆER,250846,,
DKK,29.0,2006048,2022-12-19T22:59:59.000Z,2022-12-18T14:49:27.000Z,40.0,69.0,42.03,2022-12-18T12:26:48.000Z,930.26,kg,STEGEBEN SLAGTERMEST.,250877,,
DKK,29.0,2005980,2022-12-19T22:59:59.000Z,2022-12-18T13:34:30.000Z,40.0,69.0,42.03,2022-12-18T11:29:14.000Z,929.206,kg,KOTELET FAD,257192,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/938708b580c981e2ee8bbe874843f212","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,5.25,5712580538532,2022-12-31T22:59:59.000Z,2022-12-18T18:19:39.000Z,3.0,8.25,63.64,2022-12-01T12:23:01.000Z,26.0,each,ØKO STJERNEHAPS 3-STJERNET,57408002,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/417ee2ba-da4d-4fec-82fa-9e49cc94a7a8","{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Hele pålægspølser', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Lunch Sausages'}"
DKK,7.95,5712580561295,2022-12-31T22:59:59.000Z,2022-12-18T12:49:23.000Z,25.0,32.95,24.13,2022-12-16T03:48:54.000Z,46.0,each,SPIDSBRIE PRÉSIDENT,5710405310134,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8dc87393b13d2a6ec14f372fc35abcf4","{'da': 'Mejeri & køl>Mejeri>Ost>Skimmelost & brie', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Blue Cheese Brie'}"
DKK,20.0,5712580595269,2022-12-31T22:59:59.000Z,2022-12-18T13:01:56.000Z,40.0,60.0,33.33,2022-12-18T13:01:30.000Z,27.0,each,SKÆREOST 45+ ML GRØNNELUND,5711953161193,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/dc8f86bfb485c0201f7223669a3f7831","{'da': 'Mejeri & køl>Mejeri>Ost>Skæreost', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Cheese For Slicing'}"
DKK,7.95,5712580593630,2022-12-19T22:59:59.000Z,2022-12-18T13:19:28.000Z,14.0,21.95,36.22,2022-12-17T18:12:21.000Z,4.0,each,RUGBR.SANDWICH KOHBERG,5701246032958,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7f68c4c9-b115-41ca-9039-23c0809b2c33","{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}"
DKK,8.5,5712580594071,2022-12-31T22:59:59.000Z,2022-12-18T13:34:30.000Z,3.0,11.5,73.91,2022-12-18T04:44:33.000Z,57.0,each,M/JORDBÆR MATILDE,5710405313470,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c8eea9a1-7cd0-461f-a1b5-a94876107041","{'da': 'Mejeri & køl>Mejeri>Kolde kaffedrikke & kakao', 'en': 'Dairy And Cold Storage>Dairy>Cold Coffee Drinks Cacao'}"
