currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,10.0,5712580385600,2022-12-10T22:59:59.000Z,2022-12-07T15:06:57.000Z,25,35.0,28.57,2022-12-04T12:44:44.000Z,5,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Kyllingepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Chicken Sausages'}",KYLLINGEPØLSE SALLING,5708330005126,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c36c936c-fa56-4a5f-a15b-3ba2adee8aef"
DKK,3.95,5712580384528,2022-12-13T22:59:59.000Z,2022-12-07T15:06:57.000Z,12,15.95,24.76,2022-12-03T12:46:22.000Z,1,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Mozarella', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Mozarella'}",ØKO MOZZARELLA 125 G,5712873769315,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/02cfb889-a42a-4a27-95f3-fe70b22c5a12"
DKK,7.95,5712580389356,2022-12-12T22:59:59.000Z,2022-12-07T15:06:57.000Z,16,23.95,33.19,2022-12-07T08:24:44.000Z,3,each,"{'da': 'Mejeri & køl>Fersk dej & pandekager>Dessertpandekager', 'en': 'Dairy And Cold Storage>Fresh Dough And Pancakes>Dessert Pancakes'}",MINI PANDEKAGER SALLING,5712873976614,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ec8e9f19586a771d77615d1f50de818a"
DKK,11.95,5712580387932,2022-12-10T22:59:59.000Z,2022-12-07T15:51:55.000Z,35,46.95,25.45,2022-12-06T09:09:57.000Z,2,each,"{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Yoghurt', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Yoghurt'}",GRÆSK INSP. YOG SALLING ØKO,5701852263531,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8bb1d031-e4b9-44bf-b46f-2b4f9bf411d5"
DKK,12.5,5712580389080,2022-12-08T22:59:59.000Z,2022-12-07T15:51:55.000Z,30,42.5,29.41,2022-12-07T06:36:47.000Z,7,each,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",FLÆSK I SKIVER SALLING ØKO,5707196291780,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/448727e1-5e62-4724-87a6-7bb8e8119d46"
DKK,19.95,5712580389424,2022-12-12T22:59:59.000Z,2022-12-07T15:51:55.000Z,20,39.95,49.94,2022-12-07T08:47:11.000Z,1,each,"{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Oksepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Beef Sausages'}",OKSEPØLSER PRINCIP,5712875092510,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6e066c9c-2b36-48df-ad89-dda3c76f53a4"
DKK,4.5,5712580386041,2023-01-22T22:59:59.000Z,2022-12-07T16:06:49.000Z,13,17.5,25.71,2022-12-04T17:05:04.000Z,3,each,"{'da': 'Mejeri & køl>Mejeri>Mælk>Minimælk', 'en': 'Dairy And Cold Storage>Dairy>Milk>Semiskimmed Milk'}",ØKO MINIMÆLK NATURMÆLK,5701852261520,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9b6b8f82-0bf4-45a9-b9de-9bb92f2b1618"
DKK,9.0,5712580389417,2022-12-08T22:59:59.000Z,2022-12-07T16:36:52.000Z,10,19.0,47.37,2022-12-07T08:40:14.000Z,7,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",KAMSTEG SALLING,5712874583859,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f31387fd-577d-462f-a643-794fea13a13f"
DKK,13.95,5712580390376,2022-12-14T22:59:59.000Z,2022-12-08T16:01:21.000Z,19,32.95,42.34,2022-12-08T09:51:43.000Z,3,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Mozarella', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Mozarella'}",BURRATA ØKO LA TRECCIA,5700002044310,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f00f953c-3520-4ec9-932d-4d0a6280e4b3"
DKK,13.5,5712580385662,2022-12-10T22:59:59.000Z,2022-12-07T16:51:59.000Z,18,31.5,42.86,2022-12-04T12:52:08.000Z,1,each,"{'da': 'Mejeri & køl>Mejeri>Ost>Mozarella', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Mozarella'}",MOZZARELLA MAXI GALBANI,8000430135060,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6c04cb53-24b3-426b-8179-0916b04e8e8f"
