currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,32.44,2005591,2022-12-15T22:59:59.000Z,2022-12-13T09:49:12.000Z,17.46,49.9,65.0,2022-12-13T07:03:56.000Z,22.575,kg,{},FLÆSKESTEG UDEN BEN,250032,
DKK,28.15,2005515,2022-12-13T22:59:59.000Z,2022-12-12T10:08:11.000Z,31.75,59.9,47.0,2022-12-12T09:02:43.000Z,6.561,kg,{},RIBBENSSTEG,250118,
DKK,36.08,2005416,2022-12-13T22:59:59.000Z,2022-12-12T09:08:08.000Z,49.82,85.9,42.0,2022-12-12T08:32:56.000Z,4.649,kg,{},NAKKEKOTELET,250589,
DKK,44.0,2005423,2022-12-13T22:59:59.000Z,2022-12-12T13:53:16.000Z,45.0,89.0,49.44,2022-12-12T08:33:46.000Z,4.649,kg,{},FLÆSK I SKV.,250696,
DKK,34.0,2005287,2022-12-20T22:59:59.000Z,2022-12-12T12:08:19.000Z,65.0,99.0,34.34,2022-12-12T05:32:21.000Z,4.649,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Svinemørbrad', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Tenderloin'}",SVINEMØRBRAD,250930,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/56aa2e43-c564-4e9f-9f1e-cb129abedb19"
DKK,32.44,2005607,2022-12-15T22:59:59.000Z,2022-12-13T09:49:12.000Z,17.46,49.9,65.0,2022-12-13T07:08:05.000Z,25.735,kg,{},SVINEKAM SLAGTEREN,251887,
DKK,35.96,2005669,2022-12-15T22:59:59.000Z,2022-12-13T08:54:45.000Z,53.94,89.9,40.0,2022-12-13T08:54:28.000Z,6.769,kg,,OVNKLAR KAM 1000 G,255550,
DKK,29.0,2005379,2022-12-13T22:59:59.000Z,2022-12-12T12:23:31.000Z,40.0,69.0,42.03,2022-12-12T08:26:29.000Z,4.649,kg,{},FLÆSKESTEG,259989,
DKK,59.96,2005461,2022-12-14T22:59:59.000Z,2022-12-12T15:08:17.000Z,89.94,149.9,40.0,2022-12-12T08:39:11.000Z,5.849,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Svinemørbrad', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Tenderloin'}",MØRBRAD AF GRIS SALLING ØKO,261467,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c4d36db1-bbf7-46f7-8180-b9ae81155a59"
DKK,10.25,5712580653174,2022-12-14T22:59:59.000Z,2022-12-12T14:53:18.000Z,8.0,18.25,56.16,2022-12-10T10:56:01.000Z,1.0,each,"{'da': 'Mejeri & køl>Pålæg>Kødpålæg>Pålæg i skiver', 'en': 'Dairy And Cold Storage>Lunch Meats>Meat>Sliced Lunch Meats'}",KYLLINGEPØLSE 3-STJERNET,57067568,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b5bef187-6785-4404-8189-908050306f4e"
