currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,20.0,5712580281926,2022-12-31T22:59:59.000Z,2022-12-11T15:36:14.000Z,30,50.0,40.0,2022-12-03T09:35:11.000Z,9,each,BACON I SKIVER STEFF H.,5707196207101,,
DKK,13.95,5712580292779,2022-12-13T22:59:59.000Z,2022-12-12T05:13:57.000Z,8,21.95,63.55,2022-12-12T05:13:36.000Z,1,each,GYLDENMASK RUGB KOHBERG,5701246032910,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/74ab5ee0-c1fd-43e3-9f3e-5e172d376e68","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
DKK,7.5,5712580292748,2022-12-13T22:59:59.000Z,2022-12-12T05:10:42.000Z,6,13.5,55.56,2022-12-12T05:10:23.000Z,2,each,SOLSIKKERUGBR. DET GODE,5701205001582,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9858b501-789c-4f4e-9889-281daf32df73","{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}"
DKK,13.75,5712580292762,2022-12-13T22:59:59.000Z,2022-12-12T05:13:11.000Z,8,21.75,63.22,2022-12-12T05:12:50.000Z,1,each,MESTERVÆRK KOHBERG,5701246004535,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9e120f7c-ae7f-4148-9b39-cc29d43281c2","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
DKK,13.95,5712580292816,2022-12-13T22:59:59.000Z,2022-12-12T05:21:42.000Z,8,21.95,63.55,2022-12-12T05:21:15.000Z,4,each,GULERODSRUGBRØD KOHBERG,5701246032996,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/411a3e70-800a-41bb-8be7-1c68adf2f375","{'da': 'Brød & kager>Rugbrød>Gulerodsrugbrød', 'en': 'Bread And Cakes>Rye Breads>Rye Breads With Carrots'}"
DKK,14.95,5712580292823,2022-12-13T22:59:59.000Z,2022-12-12T05:22:58.000Z,8,22.95,65.14,2022-12-12T05:22:41.000Z,2,each,KARTOFFELRUGBR. KOHBERG,5701246032972,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8836263f-8851-4fad-b5ff-63a4ae45ada3","{'da': 'Brød & kager>Rugbrød>Andre rugbrød', 'en': 'Bread And Cakes>Rye Breads>Other Rye Breads'}"
DKK,10.5,5712580292830,2022-12-13T22:59:59.000Z,2022-12-12T05:23:22.000Z,8,18.5,56.76,2022-12-12T05:23:03.000Z,1,each,SOFTKERNEBRØD SALLING,5712871634608,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/33dd052316c24cc77756dfac8992f33b","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
DKK,4.25,5712580292854,2022-12-13T22:59:59.000Z,2022-12-12T05:26:59.000Z,5,9.25,45.95,2022-12-12T05:26:38.000Z,2,each,FULDKORNSSAND. SALLING,5712872135173,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/72fa8e05-c603-433f-b0d8-e5a2b339861e","{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}"
DKK,15.95,5712580292915,2022-12-13T22:59:59.000Z,2022-12-12T05:43:18.000Z,8,23.95,66.6,2022-12-12T05:42:53.000Z,4,each,FULDKORNSBOL. LEVEBRØD,5701205005320,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/7c939fa1-a390-428e-94d5-1f51f9a55e2c","{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}"
DKK,16.5,5712580292946,2022-12-13T22:59:59.000Z,2022-12-12T05:51:15.000Z,9,25.5,64.71,2022-12-12T05:50:57.000Z,3,each,RUGBR.BOLLER KOHBERG,5701246106727,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f2c6a041-f36a-455b-88af-05dcffb26986","{'da': 'Brød & kager>Lyst & groft brød>Boller', 'en': 'Bread And Cakes>Light Breads Dark Breads>Light Dark Buns'}"
