currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,31.96,2005386,2022-12-12T22:59:59.000Z,2022-12-11T15:19:44.000Z,47.94,79.9,40.0,2022-12-11T08:56:26.000Z,1164.223,kg,{},RIBBENSSTEG,250065,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/faa7b4b7-469a-4f80-8515-34c3da87ca2b"
DKK,55.0,2005515,2022-12-13T22:59:59.000Z,2022-12-12T09:07:42.000Z,80.0,135.0,40.74,2022-12-12T09:07:17.000Z,1169.081,kg,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",FLÆSK I SKIVER SLAGTERMESTE,250490,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b3dcf11c0c5ef5132acd83c5eeb6066f"
DKK,55.0,2005508,2022-12-13T22:59:59.000Z,2022-12-12T09:07:15.000Z,80.0,135.0,40.74,2022-12-12T09:06:50.000Z,1164.127,kg,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",NAKKEKOTELETTER SLAGTERMESTE,250492,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/3fad636eaf4306c5243d7e32824a427b"
DKK,55.0,2005461,2022-12-13T22:59:59.000Z,2022-12-12T09:59:00.000Z,80.0,135.0,40.74,2022-12-12T09:03:24.000Z,1166.297,kg,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",SKINKESCH SLAGTERMESTE,250494,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b5ad78c49a1c0b803f77cd800ad1487a"
DKK,29.0,2005430,2022-12-13T22:59:59.000Z,2022-12-12T08:14:02.000Z,40.0,69.0,42.03,2022-12-12T08:13:42.000Z,1163.605,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",ITALIENSK MØRBRAD,250584,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b7203416-4a55-47fc-9a0d-76b1e0466fe2"
DKK,25.16,2005645,2022-12-13T22:59:59.000Z,2022-12-12T09:23:50.000Z,44.74,69.9,36.0,2022-12-12T09:23:29.000Z,1165.593,kg,,NAKKESTEG,250585,
DKK,29.0,2005140,2022-12-12T22:59:59.000Z,2022-12-11T11:19:35.000Z,40.0,69.0,42.03,2022-12-11T05:28:45.000Z,1166.573,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",BACON/CHEESE KOTELETTER,250586,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0b5edc8a-d27e-4e2e-a155-ea60887d9565"
DKK,29.0,2005164,2022-12-12T22:59:59.000Z,2022-12-11T16:04:39.000Z,40.0,69.0,42.03,2022-12-11T05:31:48.000Z,1163.033,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",KYLLINGEBRYST PIKANTOST,250591,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/cdada717-bb7e-43a1-a0fd-0736d32b8bee"
DKK,49.0,2005546,2022-12-13T22:59:59.000Z,2022-12-12T10:43:56.000Z,70.0,119.0,41.18,2022-12-12T09:09:30.000Z,1170.693,kg,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",FLÆSK I SKIVER SLGATERMESTE,250627,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/16e2413f-7d37-4b93-b01b-d21417508008"
DKK,25.16,2005584,2022-12-13T22:59:59.000Z,2022-12-12T10:13:53.000Z,34.74,59.9,42.0,2022-12-12T09:14:07.000Z,1163.745,kg,{},RIBBENSSTEG,250683,
DKK,13.21,2005607,2022-12-13T22:59:59.000Z,2022-12-12T10:13:53.000Z,49.69,62.9,21.0,2022-12-12T09:15:07.000Z,1165.067,kg,,KOGEFLÆSK,250687,
DKK,14.68,2005621,2022-12-13T22:59:59.000Z,2022-12-12T10:58:57.000Z,55.22,69.9,21.0,2022-12-12T09:20:54.000Z,1164.395,kg,,STEGEFLÆSK,250689,
DKK,39.96,2005614,2022-12-13T22:59:59.000Z,2022-12-12T09:19:43.000Z,59.94,99.9,40.0,2022-12-12T09:19:26.000Z,1170.863,kg,,REVELSBEN,250691,
DKK,42.25,2005638,2022-12-13T22:59:59.000Z,2022-12-12T09:22:29.000Z,47.65,89.9,47.0,2022-12-12T09:22:06.000Z,1176.723,kg,,SKINKESTEG,250774,
DKK,29.0,2005133,2022-12-12T22:59:59.000Z,2022-12-11T12:04:32.000Z,40.0,69.0,42.03,2022-12-11T05:27:41.000Z,1166.573,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GB CHILI KOTELET,250942,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/4625da71-4246-45ad-bacd-4db7093cd8fc"
DKK,29.0,2005423,2022-12-13T22:59:59.000Z,2022-12-12T08:13:14.000Z,40.0,69.0,42.03,2022-12-12T08:12:54.000Z,1164.835,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",GB PIZZABØF,250946,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/e51161db-5021-451a-b696-59df813b643a"
DKK,29.0,2005119,2022-12-12T22:59:59.000Z,2022-12-11T16:19:38.000Z,40.0,69.0,42.03,2022-12-11T05:25:21.000Z,1165.437,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",MØRBRADGRYDE GODT BEGYNDT,251076,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0c17d12f7ed83b55530a03590f3d1ac5"
DKK,29.0,2005652,2022-12-13T22:59:59.000Z,2022-12-12T09:24:22.000Z,70.0,99.0,29.29,2022-12-12T09:24:04.000Z,1166.731,kg,{},RULLEPØLSESLAG,251271,
DKK,55.0,2005478,2022-12-13T22:59:59.000Z,2022-12-12T09:04:49.000Z,80.0,135.0,40.74,2022-12-12T09:04:11.000Z,1165.457,kg,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",SKAFTEKOTELETTE BETJENTDISK,251397,
DKK,14.0,2005553,2022-12-13T22:59:59.000Z,2022-12-12T09:11:02.000Z,45.0,59.0,23.73,2022-12-12T09:10:41.000Z,1165.373,kg,"{'da': 'Kød & fisk>Grisekød>Andet grisekød', 'en': 'Meat Fish>Pork>Other Pork'}",SVINEHJERTER,251629,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/00f9217c7ca669b8110265121e7d04e2"
DKK,55.0,2005485,2022-12-13T22:59:59.000Z,2022-12-12T09:05:34.000Z,80.0,135.0,40.74,2022-12-12T09:05:15.000Z,1167.417,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Nakkefilet & svinekam', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Neck Pork Loin'}",RULLESTEG M. SVESKER,251707,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/6d0e4c89-54a7-454a-bb25-002a615a4fda"
DKK,24.0,2005560,2022-12-13T22:59:59.000Z,2022-12-12T09:12:03.000Z,35.0,59.0,40.68,2022-12-12T09:11:44.000Z,1174.109,kg,"{'da': 'Kød & fisk>Grisekød>Andet grisekød', 'en': 'Meat Fish>Pork>Other Pork'}",SVINELEVER SKIV SLAGTEREN,251801,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/66d5a80d95d55cd58e0bd832af42216c"
DKK,55.0,2005522,2022-12-13T22:59:59.000Z,2022-12-12T10:43:56.000Z,80.0,135.0,40.74,2022-12-12T09:08:02.000Z,1163.033,kg,"{'da': 'Kød & fisk>Kød & fisk>Grisekød>Grisekød>Stege & hele kødstykker>Andet grisekød>Nakkefilet & svinekam', 'en': 'Meat Fish>Meat Fish>Pork>Pork>Roasted Whole Pork Pieces>Other Pork>Pork Neck Pork Loin'}",SKANK AF GRIS SLAGTEREN,252430,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ff95cfc43339d10ed4b17e234fc5a2e0"
DKK,65.0,2005539,2022-12-13T22:59:59.000Z,2022-12-12T09:08:54.000Z,70.0,135.0,48.15,2022-12-12T09:08:35.000Z,1169.113,kg,"{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}",NAKKEKOETLETTER,254573,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/fbc80613-e4d0-42c0-8195-75daf6fdd5f7"
DKK,30.0,2005171,2022-12-12T22:59:59.000Z,2022-12-11T12:34:35.000Z,55.0,85.0,35.29,2022-12-11T05:32:42.000Z,1163.033,kg,{},MØRBRAD I FAD GODT BEGYNDT,254700,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ccc693c8-b448-437f-a511-e7d5a4992c20"
DKK,20.0,2005577,2022-12-13T22:59:59.000Z,2022-12-12T09:13:51.000Z,65.0,85.0,23.53,2022-12-12T09:13:17.000Z,1170.277,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}",RIBBENSSTEG,255388,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ecd84ac3f0bfabd01380c6435eb2141f"
DKK,19.0,2005379,2022-12-12T22:59:59.000Z,2022-12-11T11:04:29.000Z,60.0,79.0,24.05,2022-12-11T08:54:44.000Z,1163.033,kg,"{'da': 'Kød & fisk>Grisekød>Andet grisekød', 'en': 'Meat Fish>Pork>Other Pork'}",STEGEBEN,255431,
