currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,39.0,2007618,2022-12-11T22:59:59.000Z,2022-12-10T16:52:31.000Z,30,69.0,56.52,2022-12-10T16:25:59.000Z,1.07,kg,STEGEBEN SLAGTERMEST.,250877,,
DKK,19.0,2007441,2022-12-11T22:59:59.000Z,2022-12-10T11:22:24.000Z,70,89.0,21.35,2022-12-10T08:14:52.000Z,1.07,kg,MØRBRAD M KAR. GODT BEGYNDT,251072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a3bbe846-caa0-41ac-87e8-ed94f0e6e670","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,24.0,2007403,2022-12-11T22:59:59.000Z,2022-12-10T12:07:22.000Z,45,69.0,34.78,2022-12-10T08:10:40.000Z,1.07,kg,KYLLING I KARRY,254564,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b60d61b7-9d17-4c2d-bcac-54771f5a2f66","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,20.0,2007298,2022-12-13T22:59:59.000Z,2022-12-10T16:07:37.000Z,119,139.0,14.39,2022-12-09T06:55:04.000Z,10.998,kg,NAKKEFILET SLAGTEREN,254881,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/996d9c39-196d-4083-b7c8-01ce7a38e4d3","{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Nakkefilet & svinekam', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Neck Pork Loin'}"
DKK,24.0,2007427,2022-12-11T22:59:59.000Z,2022-12-10T12:37:30.000Z,45,69.0,34.78,2022-12-10T08:12:01.000Z,1.07,kg,KOTELET FAD,257192,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/938708b580c981e2ee8bbe874843f212","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,109.9,2007540,2022-12-11T22:59:59.000Z,2022-12-10T16:17:30.000Z,40,149.9,73.32,2022-12-10T16:17:10.000Z,2.176,kg,MØRBRAD AF GRIS SALLING ØKO,261467,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c4d36db1-bbf7-46f7-8180-b9ae81155a59","{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Svinemørbrad', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Tenderloin'}"
DKK,44.0,5712580120751,2022-12-11T22:59:59.000Z,2022-12-10T11:22:24.000Z,25,69.0,63.77,2022-12-10T08:50:05.000Z,1.0,each,FLÆSK I SKIVER ANTONIUS,5707196305319,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c32a4270ce1098249edfa92b6f1ad50a","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,6.75,5712580120577,2022-12-11T22:59:59.000Z,2022-12-10T11:52:28.000Z,15,21.75,31.03,2022-12-10T07:12:39.000Z,1.0,each,MESTERVÆRK KOHBERG,5701246004535,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9e120f7c-ae7f-4148-9b39-cc29d43281c2","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
DKK,5.95,5712580121345,2022-12-29T22:59:59.000Z,2022-12-10T12:46:18.000Z,9,14.95,39.8,2022-12-10T12:45:27.000Z,513.0,each,ISKFAFFE BOLD,5707527004713,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9b0d1f3c-e1ae-49ad-a96e-6c1ab985a755","{'da': 'Mejeri & køl>Mejeri>Kolde kaffedrikke & kakao', 'en': 'Dairy And Cold Storage>Dairy>Cold Coffee Drinks Cacao'}"
DKK,9.95,5712580118888,2022-12-11T22:59:59.000Z,2022-12-10T12:52:29.000Z,15,24.95,39.88,2022-12-09T05:26:45.000Z,15.0,each,BRIOCHE SANDWI. PRINCIP,5712874961206,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8e92acc3-45cd-4e75-9cab-3b26e635f255","{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}"
