currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,categories,description,ean_y,image
DKK,29.56,2007823,2022-12-13T22:59:59.000Z,2022-12-12T11:25:05.000Z,50.34,79.9,37.0,2022-12-12T10:12:14.000Z,2.394,kg,{},RIBBENSSTEG,250065,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/faa7b4b7-469a-4f80-8515-34c3da87ca2b"
DKK,24.77,2007755,2022-12-13T22:59:59.000Z,2022-12-12T09:56:22.000Z,55.13,79.9,31.0,2022-12-12T09:55:59.000Z,1.996,kg,,STEGEBEN,250617,
DKK,16.72,2007748,2022-12-13T22:59:59.000Z,2022-12-12T09:54:48.000Z,50.18,66.9,25.0,2022-12-12T09:54:20.000Z,1.658,kg,,KOGEFLÆSK,250687,
DKK,44.0,2007809,2022-12-13T22:59:59.000Z,2022-12-12T11:25:05.000Z,45.0,89.0,49.44,2022-12-12T10:08:22.000Z,9.422,kg,{},FLÆSK I SKV.,250696,
DKK,25.17,2007731,2022-12-13T22:59:59.000Z,2022-12-12T09:53:50.000Z,64.73,89.9,28.0,2022-12-12T09:53:26.000Z,5.028,kg,,SKINKESTEG,250774,
DKK,20.12,2007762,2022-12-13T22:59:59.000Z,2022-12-12T09:56:50.000Z,44.78,64.9,31.0,2022-12-12T09:56:34.000Z,4.032,kg,,FERSK SPÆK,250836,
DKK,29.0,2007847,2022-12-13T22:59:59.000Z,2022-12-12T10:17:12.000Z,40.0,69.0,42.03,2022-12-12T10:16:54.000Z,5.302,kg,,STEGEBEN SLAGTERMEST.,250877,
DKK,34.0,2007786,2022-12-13T22:59:59.000Z,2022-12-12T10:05:38.000Z,65.0,99.0,34.34,2022-12-12T10:05:22.000Z,2.31,kg,"{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Svinemørbrad', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Pork Tenderloin'}",SVINEMØRBRAD,250930,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/56aa2e43-c564-4e9f-9f1e-cb129abedb19"
DKK,19.0,2007977,2022-12-13T22:59:59.000Z,2022-12-12T11:25:05.000Z,70.0,89.0,21.35,2022-12-12T10:46:11.000Z,4.412,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",MØRBRAD M KAR. GODT BEGYNDT,251072,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a3bbe846-caa0-41ac-87e8-ed94f0e6e670"
DKK,29.0,2007830,2022-12-13T22:59:59.000Z,2022-12-12T11:39:53.000Z,40.0,69.0,42.03,2022-12-12T10:16:05.000Z,1.07,kg,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}",MØRBRADGRYDE GODT BEGYNDT,251075,
